zone,is_goal,is_saved,is_right_foot,end_y,end_z,player,team,match_id,competition_id,technique
8,0,0,1,43.4,2.7,Andrés Mateus Uribe Villa,Colombia,7585,43,Normal
6,1,0,1,37.0,1.9,Kieran Trippier,England,7585,43,Normal
4,0,1,1,38.9,1.3,Carlos Arturo Bacca Ahumada,Colombia,7585,43,Normal
0,1,0,1,36.4,0.4,Eric Dier,England,7585,43,Normal
7,1,0,1,40.7,2.4,Gylfi Þór Sigurðsson,Iceland,7561,43,Normal
8,1,0,0,43.4,2.4,Mohamed Salah,Egypt,7540,43,Normal
3,0,1,0,38.3,1.3,Lionel Andrés Messi Cuccittini,Argentina,7531,43,Normal
5,0,1,1,42.4,0.9,Cristiano Ronaldo dos Santos Aveiro,Portugal,7557,43,Normal
8,1,0,1,42.6,2.5,Karim Ansarifard,Iran,7557,43,Normal
8,1,0,0,41.5,1.8,Carlos Alberto Vela Garrido,Mexico,7553,43,Normal
5,1,0,1,43.8,1.3,Cristiano Ronaldo dos Santos Aveiro,Portugal,7576,43,Normal
0,1,0,1,36.4,0.5,Ferjani Sassi,Tunisia,7537,43,Normal
0,1,0,0,38.3,0.2,Antoine Griezmann,France,7580,43,Normal
2,0,1,1,43.0,0.2,Luka Modrić,Croatia,7581,43,Normal
0,0,1,1,36.6,0.6,Christian Dannemann Eriksen,Denmark,7581,43,Normal
1,0,1,1,38.7,0.5,Milan Badelj,Croatia,7581,43,Normal
8,1,0,1,42.8,2.5,Simon Thorup Kjær,Denmark,7581,43,Normal
0,1,0,1,37.0,0.2,Andrej Kramarić,Croatia,7581,43,Normal
0,1,0,1,37.0,0.2,Michael Krohn-Dehli,Denmark,7581,43,Normal
1,1,0,1,40.3,0.2,Luka Modrić,Croatia,7581,43,Normal
0,0,1,1,36.2,0.8,Lasse Schöne,Denmark,7581,43,Normal
0,0,1,0,36.6,0.4,Josip Pivarić,Croatia,7581,43,Normal
2,0,1,1,41.5,0.2,Nicolai Jørgensen,Denmark,7581,43,Normal
0,1,0,1,37.2,0.3,Ivan Rakitić,Croatia,7581,43,Normal
