distance,angle,x,y,is_head,is_right_foot,is_left_foot,is_volley,is_half_volley,is_penalty,is_free_kick,first_time,defenders_in_path,gk_in_path,is_counter,is_corner,is_throw_in,is_goal,sb_xg,team,player,match_id,competition_id
19.103141102970476,0.32507417083967216,105.3,27.8,0,1,0,0,0,0,0,1,6,1,0,0,0,0,0.05519996,Belgium,Yannick Ferreira Carrasco,3857296,43
11.208925015361643,0.21549913933470943,117.0,29.2,0,1,0,0,0,0,0,1,3,1,0,0,0,0,0.020840297,Belgium,Yannick Ferreira Carrasco,3857296,43
16.00781059358212,0.4578871116905925,105.2,33.9,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0.1934709,Belgium,Dries Mertens,3857296,43
27.772288346479478,0.2814792985280427,92.7,34.9,0,1,0,0,0,0,0,1,10,1,0,0,0,0,0.025340356,Belgium,Axel Witsel,3857296,43
20.48414020651099,0.3808480822075568,99.8,36.6,0,0,1,0,0,0,0,1,7,1,0,0,1,0,0.054300383,Croatia,Marcelo Brozović,3857296,43
8.190848551890088,0.8847265641154192,112.2,42.5,1,0,0,0,0,0,0,1,5,1,0,0,1,0,0.104244776,Croatia,Marko Livaja,3857296,43
9.708243919473801,0.3069182767350427,116.9,49.2,0,0,1,1,0,0,0,1,2,1,0,0,0,0,0.108029366,Belgium,Dries Mertens,3857296,43
28.887713651308573,0.2405755604664015,94.9,25.7,0,0,1,0,0,0,0,1,9,1,0,0,0,0,0.024362085,Croatia,Borna Sosa,3857296,43
11.672617529928752,0.6530780947182748,108.5,38.0,1,0,0,0,0,0,0,1,4,1,0,0,1,0,0.08771692,Croatia,Ivan Perišić,3857296,43
20.44162420161373,0.3245399682452184,103.1,51.5,0,1,0,1,0,0,0,1,8,1,0,0,1,0,0.041306578,Croatia,Josip Juranović,3857296,43
22.398660674245676,0.30479460454801105,100.9,28.3,0,0,1,1,1,0,0,1,11,1,0,1,0,0,0.026916144,Belgium,Yannick Ferreira Carrasco,3857296,43
6.315853069855248,0.6969984843968922,117.5,34.2,1,0,0,0,0,0,0,1,2,1,0,1,0,0,0.1189759,Belgium,Romelu Lukaku Menama,3857296,43
19.386851214160586,0.343719130297975,103.9,29.2,0,1,0,0,0,0,0,1,4,1,0,0,0,0,0.07960723,Croatia,Mateo Kovačić,3857296,43
25.732858372128035,0.3035456100010437,94.7,35.3,0,0,1,1,1,0,0,1,10,1,0,1,0,0,0.024012579,Croatia,Borna Sosa,3857296,43
20.519746587129184,0.36072261000109407,100.9,32.5,0,0,1,0,0,0,0,1,8,1,0,0,0,0,0.048855886,Belgium,Kevin De Bruyne,3857296,43
19.535864454894238,0.401404370047868,100.6,37.7,0,0,1,0,0,0,0,1,7,1,0,0,0,0,0.10219261,Croatia,Marcelo Brozović,3857296,43
19.33313218286163,0.31151120034967517,105.6,52.9,0,0,1,0,0,0,0,1,6,1,0,0,1,0,0.071706615,Croatia,Luka Modrić,3857296,43
8.095060222135476,0.8605852020577147,112.8,36.3,0,1,0,0,0,0,0,1,3,1,0,0,0,0,0.09935363,Belgium,Yannick Ferreira Carrasco,3857296,43
10.606601717798211,0.6567964514160846,110.7,45.1,0,1,0,0,0,0,0,1,4,1,0,0,0,0,0.19960539,Belgium,Romelu Lukaku Menama,3857296,43
7.21248916810279,0.9926402321498528,113.1,42.1,1,0,0,0,0,0,0,1,5,1,0,0,0,0,0.30245224,Belgium,Romelu Lukaku Menama,3857296,43
13.337541002748592,0.5814455082392267,106.7,39.0,0,1,0,1,1,0,0,1,6,1,0,0,0,0,0.07160131,Croatia,Luka Modrić,3857296,43
21.949259668608413,0.1382371297094367,111.9,60.4,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0.0061408128,Belgium,Kevin De Bruyne,3857296,43
8.18596359630313,0.8595744965506753,112.6,36.5,1,0,0,0,0,0,0,1,8,1,0,1,0,0,0.07045005,Belgium,Jan Vertonghen,3857296,43
16.182088863926065,0.2998017209913425,110.5,53.1,0,1,0,1,0,0,0,1,5,1,0,1,0,0,0.04308796,Belgium,Thomas Meunier,3857296,43
